"Project ID","Project Name","Status","Points","Requirement Scope","Requirement Group","Requirement Title","Requirement Description","Weight (%)","Points (calculated)"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Testowanie","","@DataJpaTest dla testowania repository. Min. 10 testów CRUD. RowMapper i custom queries.","2","1.3"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Testowanie","","@Mock, @InjectMocks, Mockito: when().thenReturn(), verify(). Unit testy dla logiki biznesowej.","3","1.95"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Testowanie","","@WebMvcTest lub @SpringBootTest dla controllerów REST. MockMvc: perform(), andExpect(). @WithMockUser dla testów Security. Min. 5 scenariuszy biznesowych.","2","1.3"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Testowanie","","JaCoCo - coverage 70%+. Raport z pokryciem kodu. Testy obejmują Happy Path i Error Cases.","1","0.65"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Wymagania dodatkowe","","Zastosowanie logowania (poziomy INFO, ERROR, DEBUG) w kluczowych momentach procesów biznesowych (wejście do metody, wystąpienie błędu).","2","1.3"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Wymagania dodatkowe","","Przygotowanie pliku Dockerfile dla aplikacji oraz docker-compose.yml, który stawia aplikację oraz bazę danych. Umożliwienie uruchomienia całego środowiska jedną komendą docker-compose up.","4","2.6"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Wymagania dodatkowe","","Implementacja testu automatycznego (JUnit + ArchUnit), który pilnuje reguł architektonicznych z Grupy 1 i 2 (np. ""Klasy z pakietu Controller nie mogą zależeć od klas z pakietu Entity"" lub ""Klasy Service muszą być w pakiecie .service"").","4","2.6"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Wymagania dodatkowe","","Prosty test automatyczny uruchamiający przeglądarkę i sprawdzający, czy aplikacja (np. strona logowania lub Swagger) poprawnie się ładuje (tytuł strony, obecność elementu).","5","3.25"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Common","Wymagania dodatkowe","","","5","3.25"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Specific","Project-specific","","Implementacja logiki przejść: Ekran Powitalny (Reklama) -> Wybór typu zamówienia (Na miejscu / Na wynos) -> Menu. Wybór typu zamówienia musi być zapisany w kontekście sesji i wpływać na finalne zamówienie (np. doliczenie opłaty za opakowanie - opcjonalnie).","9","5.85"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Specific","Project-specific","","Wyświetlanie produktów z podziałem na kategorie. Logika modyfikacji: Po wybraniu produktu (np. Burger) użytkownik może edytować jego składniki (Relacja Product-Ingredients). Dodanie składnika (np. 'Extra Bekon') zwiększa cenę, usunięcie może być darmowe. Cena musi aktualizować się dynamicznie.","12","7.8"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Specific","Project-specific","","Koszyk zakupowy działający bez konta użytkownika. Możliwość podglądu całego zamówienia, edycji ilości, usunięcia pozycji lub powrotu do edycji konkretnego produktu (np. zmiany dodatków w już dodanym burgerze).","9","5.85"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Specific","Project-specific","","Symulacja płatności. Po zatwierdzeniu zamówienia system generuje unikalny, czytelny dla człowieka numer (np. #055), który resetuje się co dobę lub działa w pętli 0-999. Wyświetlenie podsumowania dla klienta.","8","5.2"
"f8kg1174-m73h-2ill-i9j6-37mn12553jn8","project-9","draft","65","Specific","Project-specific","","Dostęp chroniony hasłem (ADMIN). CRUD Produktów i Składników (ustalanie cen dodatków). Moduł statystyk sprzedaży: Agregacja danych (SQL GROUP BY) wyświetlająca sprzedaż w ujęciu dziennym i miesięcznym (Ilość zamówień + Suma przychodów).","12","7.8"
